;date;T. Max.;T. Min.;H. Max.;H. Min.;P. Max.;P. Min.;Vel.;Precipitación;T. Amp.;P. Amp.;H. Amp.;T. med1.;P. med1.;H. med1.;Prec. Acumulado;Cuenta_lluvia;Cuenta_sequía;Regresión T. med1.;Regresión T. Max.;Regresión T. Min.;Regresión T. Amp.
2020-02-07;20200207;12.1;2.9;92;69;1025.3;1022.6;16.0;0.0;9.2;2.699999999999932;23;7.5;1023.95;80.5;0.0;0;5;14.484477133219793;19.840637766659732;9.113723365566567;10.726914401093161
2020-02-08;20200208;8.7;3.7;96;86;1028.9;1023.8;16.0;0.4;4.999999999999999;5.100000000000136;10;6.199999999999999;1026.35;91.0;1;1;0;14.485174054057694;19.841409529982762;9.114342310602494;10.727067219380269
2020-02-09;20200209;8.0;3.1;97;85;1033.9;1028.3;11.0;0.0;4.9;5.600000000000136;12;5.55;1031.1;91.0;0.0;0;1;14.485870974895596;19.842181293305796;9.114961255638418;10.727220037667376
2020-02-10;20200210;12.2;6.2;97;82;1034.7;1030.4;13.0;0.0;5.999999999999999;4.2999999999999545;15;9.2;1032.5500000000002;89.5;0.0;0;2;14.486567895733497;19.84295305662883;9.115580200674344;10.727372855954483
2020-02-11;20200211;14.0;4.9;97;78;1031.1;1024.9;13.0;0.2;9.1;6.199999999999818;19;9.45;1028.0;87.5;1;1;0;14.487264816571397;19.84372481995186;9.116199145710269;10.72752567424159
2020-02-12;20200212;14.4;6.3;97;67;1025.5;1021.7;19.0;0.0;8.100000000000001;3.7999999999999545;30;10.35;1023.6;82.0;0.0;0;1;14.487961737409298;19.844496583274893;9.116818090746193;10.727678492528698
2020-02-13;20200213;12.9;6.8;97;77;1026.1;1021.5;23.0;0.2;6.1000000000000005;4.599999999999909;20;9.85;1023.8;87.0;1;1;0;14.4886586582472;19.845268346597926;9.11743703578212;10.727831310815805
2020-02-14;20200214;13.6;3.1;96;66;1028.0;1025.0;15.0;0.2;10.5;3.0;30;8.35;1026.5;81.0;1;2;0;14.489355579085101;19.846040109920956;9.118055980818044;10.727984129102913
2020-02-15;20200215;14.3;3.4;95;68;1028.4;1025.3;19.0;0.0;10.9;3.1000000000001364;27;8.85;1026.85;81.5;0.0;0;1;14.490052499923003;19.84681187324399;9.11867492585397;10.72813694739002
2020-02-16;20200216;14.0;3.9;95;72;1028.4;1026.2;16.0;0.2;10.1;2.2000000000000455;23;8.95;1027.3000000000002;83.5;1;1;0;14.490749420760903;19.847583636567023;9.119293870889894;10.728289765677125
2020-02-17;20200217;9.6;5.2;96;70;1031.7;1026.1;19.0;0.2;4.3999999999999995;5.600000000000136;26;7.4;1028.9;83.0;1;2;0;14.491446341598804;19.848355399890053;9.11991281592582;10.728442583964233
2020-02-18;20200218;13.1;1.3;90;49;1033.2;1029.8;21.0;0.0;11.799999999999999;3.400000000000091;41;7.2;1031.5;69.5;0.0;0;1;14.492143262436706;19.849127163213087;9.120531760961745;10.72859540225134
2020-02-19;20200219;15.1;-0.7;90;34;1034.6;1028.7;15.0;0.0;15.799999999999999;5.899999999999864;56;7.2;1031.65;62.0;0.0;0;2;14.492840183274607;19.84989892653612;9.121150705997671;10.728748220538447
2020-02-20;20200220;17.3;1.8;76;33;1028.7;1024.1;18.0;0.0;15.5;4.600000000000136;43;9.55;1026.4;54.5;0.0;0;3;14.493537104112509;19.85067068985915;9.121769651033595;10.728901038825555
2020-02-21;20200221;18.4;5.2;55;22;1030.4;1027.0;18.0;0.0;13.2;3.400000000000091;33;11.799999999999999;1028.7;38.5;0.0;0;4;14.49423402495041;19.851442453182184;9.12238859606952;10.729053857112662
2020-02-22;20200222;20.1;4.9;60;25;1033.3;1029.8;16.0;0.0;15.200000000000001;3.5;35;12.5;1031.55;42.5;0.0;0;5;14.494930945788312;19.852214216505217;9.123007541105446;10.72920667539977
2020-02-23;20200223;20.4;6.3;51;27;1034.0;1030.0;16.0;0.0;14.099999999999998;4.0;24;13.35;1032.0;39.0;0.0;0;6;14.495627866626211;19.852985979828247;9.12362648614137;10.729359493686877
2020-02-24;20200224;19.6;6.3;56;26;1030.6;1022.1;19.0;0.0;13.3;8.499999999999886;30;12.950000000000001;1026.35;41.0;0.0;0;7;14.496324787464113;19.85375774315128;9.124245431177297;10.729512311973984
2020-02-25;20200225;15.5;8.7;68;23;1022.4;1017.5;27.0;0.0;6.800000000000001;4.899999999999977;45;12.1;1019.95;45.5;0.0;0;8;14.497021708302015;19.854529506474314;9.124864376213221;10.729665130261091
2020-02-26;20200226;11.2;3.9;74;40;1022.5;1017.9;48.0;0.0;7.299999999999999;4.600000000000023;34;7.55;1020.2;57.0;0.0;0;9;14.497718629139916;19.855301269797344;9.125483321249146;10.729817948548199
2020-02-27;20200227;16.4;4.7;79;31;1023.7;1020.6;40.0;0.0;11.7;3.1000000000000227;48;10.549999999999999;1022.1500000000001;55.0;0.0;0;10;14.498415549977818;19.856073033120378;9.126102266285072;10.729970766835304
2020-02-28;20200228;16.5;5.2;64;38;1023.8;1015.1;44.0;0.0;11.3;8.699999999999932;26;10.85;1019.45;51.0;0.0;0;11;14.499112470815719;19.85684479644341;9.126721211320996;10.730123585122412
2020-02-29;20200229;12.1;3.9;87;56;1015.0;1010.2;42.0;0.0;8.2;4.7999999999999545;31;8.0;1012.6;71.5;0.0;0;12;14.49980939165362;19.857616559766445;9.127340156356922;10.730276403409519
2020-03-01;20200301;11.8;5.1;96;60;1014.8;1005.7;48.0;3.2;6.700000000000001;9.099999999999909;36;8.45;1010.25;78.0;1;1;0;14.50050631249152;19.858388323089475;9.127959101392847;10.730429221696626
2020-03-02;20200302;10.3;1.7;96;45;1017.3;998.8;71.0;2.2;8.600000000000001;18.5;51;6.0;1008.05;70.5;1;2;0;14.501203233329422;19.85916008641251;9.128578046428773;10.730582039983734
2020-03-03;20200303;15.9;3.0;89;52;1018.3;1014.7;61.0;0.8;12.9;3.599999999999909;37;9.45;1016.5;70.5;1;3;0;14.501900154167323;19.859931849735542;9.129196991464697;10.730734858270841
2020-03-04;20200304;15.3;9.8;82;52;1020.3;1016.5;45.0;0.0;5.5;3.7999999999999545;30;12.55;1018.4;67.0;0.0;0;1;14.502597075005225;19.860703613058572;9.129815936500624;10.730887676557948
2020-03-05;20200305;12.1;5.7;96;50;1016.8;1009.9;56.0;2.6;6.3999999999999995;6.899999999999977;46;8.9;1013.3499999999999;73.0;1;1;0;14.503293995843126;19.861475376381605;9.130434881536548;10.731040494845056
2020-03-06;20200306;8.2;4.3;85;44;1024.4;1013.4;63.0;0.2;3.8999999999999995;11.000000000000114;41;6.25;1018.9000000000001;64.5;1;2;0;14.503990916681026;19.86224713970464;9.131053826572472;10.731193313132163
2020-03-07;20200307;15.6;3.7;79;40;1027.4;1024.1;42.0;0.0;11.899999999999999;3.300000000000182;39;9.65;1025.75;59.5;0.0;0;1;14.504687837518928;19.86301890302767;9.131672771608399;10.73134613141927
2020-03-08;20200308;13.2;0.4;85;46;1027.0;1023.9;39.0;0.0;12.799999999999999;3.1000000000000227;39;6.8;1025.45;65.5;0.0;0;2;14.50538475835683;19.863790666350702;9.132291716644323;10.731498949706378
2020-03-09;20200309;13.6;6.6;74;42;1027.0;1024.1;47.0;0.0;7.0;2.900000000000091;32;10.1;1025.55;58.0;0.0;0;3;14.50608167919473;19.864562429673736;9.13291066168025;10.731651767993485
2020-03-10;20200310;20.5;7.6;64;38;1027.6;1024.3;29.0;0.0;12.9;3.2999999999999545;26;14.05;1025.9499999999998;51.0;0.0;0;4;14.506778600032632;19.865334192996766;9.133529606716174;10.731804586280592
2020-03-11;20200311;23.4;9.7;77;38;1025.1;1020.4;21.0;0.0;13.7;4.699999999999932;39;16.549999999999997;1022.75;57.5;0.0;0;5;14.507475520870534;19.8661059563198;9.1341485517521;10.731957404567698
2020-03-12;20200312;23.6;10.4;79;32;1021.1;1014.8;19.0;0.0;13.200000000000001;6.300000000000068;47;17.0;1017.95;55.5;0.0;0;6;14.508172441708435;19.866877719642833;9.134767496788024;10.732110222854805
2020-03-13;20200313;21.4;10.2;77;34;1016.6;1013.2;21.0;0.0;11.2;3.3999999999999773;43;15.799999999999999;1014.9000000000001;55.5;0.0;0;7;14.508869362546335;19.867649482965863;9.13538644182395;10.732263041141913
2020-03-14;20200314;21.3;6.5;92;32;1019.2;1015.7;18.0;0.0;14.8;3.5;60;13.9;1017.45;62.0;0.0;0;8;14.509566283384236;19.868421246288896;9.136005386859875;10.73241585942902
2020-03-15;20200315;17.6;7.1;89;43;1017.1;1007.1;40.0;0.6;10.500000000000002;10.0;46;12.350000000000001;1012.1;66.0;1;1;0;14.510263204222138;19.86919300961193;9.1366243318958;10.732568677716127
2020-03-16;20200316;9.7;2.8;94;78;1020.0;1005.8;48.0;12.6;6.8999999999999995;14.200000000000045;16;6.25;1012.9;86.0;1;2;0;14.51096012506004;19.86996477293496;9.137243276931725;10.732721496003235
2020-03-17;20200317;13.4;2.9;96;69;1028.1;1020.3;35.0;5.2;10.5;7.7999999999999545;27;8.15;1024.1999999999998;82.5;1;3;0;14.511657045897941;19.870736536257994;9.13786222196765;10.732874314290342
2020-03-18;20200318;17.3;8.3;84;49;1027.8;1022.1;24.0;0.0;9.0;5.699999999999932;35;12.8;1024.95;66.5;0.0;0;1;14.512353966735843;19.871508299581027;9.138481167003576;10.73302713257745
2020-03-19;20200319;15.9;6.2;93;46;1022.4;1016.5;18.0;0.2;9.7;5.899999999999977;47;11.05;1019.45;69.5;1;1;0;14.513050887573744;19.872280062904057;9.1391001120395;10.733179950864557
2020-03-20;20200320;10.3;6.3;89;74;1017.7;1014.5;13.0;0.0;4.000000000000001;3.2000000000000455;15;8.3;1016.1;81.5;0.0;0;1;14.513747808411644;19.87305182622709;9.139719057075425;10.733332769151664
2020-03-21;20200321;8.4;5.6;95;82;1015.0;1010.6;21.0;2.4;2.8000000000000007;4.399999999999977;13;7.0;1012.8;88.5;1;1;0;14.514444729249545;19.873823589550124;9.140338002111351;10.733485587438771
2020-03-22;20200322;12.3;5.2;95;62;1014.7;1010.8;24.0;3.4;7.1000000000000005;3.900000000000091;33;8.75;1012.75;78.5;1;2;0;14.515141650087447;19.874595352873154;9.140956947147275;10.733638405725877
2020-03-23;20200323;12.1;6.7;94;64;1016.9;1013.9;31.0;2.8;5.3999999999999995;3.0;30;9.4;1015.4;79.0;1;3;0;14.515838570925348;19.875367116196188;9.141575892183202;10.733791224012984
2020-03-24;20200324;13.6;5.7;84;52;1017.3;1014.6;31.0;0.0;7.8999999999999995;2.699999999999932;32;9.65;1015.95;68.0;0.0;0;1;14.51653549176325;19.87613887951922;9.142194837219126;10.733944042300092
2020-03-25;20200325;15.6;3.3;90;31;1016.7;1011.5;32.0;0.0;12.3;5.2000000000000455;59;9.45;1014.1;60.5;0.0;0;2;14.51723241260115;19.87691064284225;9.142813782255052;10.734096860587199
2020-03-26;20200326;12.3;0.8;60;26;1011.9;1007.9;37.0;0.0;11.5;4.0;34;6.550000000000001;1009.9;43.0;0.0;0;3;14.517929333439051;19.877682406165285;9.143432727290977;10.734249678874306
2020-03-27;20200327;11.3;1.5;82;40;1016.7;1010.4;29.0;0.0;9.8;6.300000000000068;42;6.4;1013.55;61.0;0.0;0;4;14.518626254276953;19.878454169488318;9.144051672326903;10.734402497161414
2020-03-28;20200328;15.1;0.6;85;36;1019.7;1016.6;21.0;0.0;14.5;3.1000000000000227;49;7.85;1018.1500000000001;60.5;0.0;0;5;14.519323175114854;19.879225932811348;9.144670617362827;10.734555315448521
2020-03-29;20200329;16.4;3.3;78;38;1019.5;1013.9;19.0;0.0;13.099999999999998;5.600000000000023;40;9.85;1016.7;58.0;0.0;0;6;14.520020095952756;19.87999769613438;9.145289562398752;10.734708133735628
2020-03-30;20200330;9.7;-0.1;92;55;1014.9;1012.3;29.0;0.0;9.799999999999999;2.6000000000000227;37;4.8;1013.5999999999999;73.5;0.0;0;7;14.520717016790657;19.880769459457415;9.145908507434678;10.734860952022736
2020-03-31;20200331;6.9;-1.0;95;92;1013.2;1009.3;32.0;16.6;7.9;3.900000000000091;3;2.95;1011.25;93.5;1;1;0;14.521413937628559;19.88154122278045;9.146527452470602;10.735013770309843
2020-04-01;20200401;12.0;5.3;96;61;1013.2;1010.4;21.0;13.0;6.7;2.800000000000068;35;8.65;1011.8;78.5;1;2;0;14.522110858466458;19.88231298610348;9.147146397506528;10.73516658859695
2020-04-02;20200402;12.1;1.6;92;57;1015.9;1010.7;35.0;0.0;10.5;5.199999999999932;35;6.85;1013.3;74.5;0.0;0;1;14.52280777930436;19.883084749426512;9.147765342542453;10.735319406884058
2020-04-03;20200403;15.5;1.2;91;38;1017.8;1014.9;19.0;0.0;14.3;2.8999999999999773;53;8.35;1016.3499999999999;64.5;0.0;0;2;14.523504700142261;19.883856512749546;9.148384287578379;10.735472225171165
2020-04-04;20200404;16.4;3.3;80;43;1017.5;1014.3;35.0;0.0;13.099999999999998;3.2000000000000455;37;9.85;1015.9;61.5;0.0;0;3;14.524201620980163;19.884628276072576;9.149003232614303;10.73562504345827
2020-04-05;20200405;16.8;8.3;85;54;1018.1;1014.8;24.0;0.0;8.5;3.300000000000068;31;12.55;1016.45;69.5;0.0;0;4;14.524898541818065;19.88540003939561;9.14962217765023;10.735777861745378
